,GC/LE/Other,Category,Name,Note Description,Status,Released/Available Date,Cesssation Date,Refactore Date,Review,Notes,,,,
,Limited Edition,A Little Lunacy,Singing Moon,"Moonlight over grave grass, meadowsweet, marsh hellebore, rock sea-lavender, Irish Lady's-tresses, melancholy thistle, and wood bitter-vetch, with the scent of autumn fires in the distance, sprayed by wind howling over the Atlantic.",Discontinued,7/24/07 – 7/31/07,,7/24/07 – 7/31/07,,,,,,
,Limited Edition,A Little Lunacy,Hunger Moon,"Ozone, white sandalwood, crystallized white amber, verbena, oakmoss, clary sage, and a hint of white citrus rind",Discontinued,01/01/07,,,,,,,,
,Limited Edition,A Little Lunacy,Beaver Moon 2007,"wild cherry with vanilla cream accord, and a hint of strawberry.",Discontinued,09/26/07,09/28/07,,,,,,,
,Limited Edition,A Little Lunacy,Dragon Moon,"dragon’s blood resin, tea leaf, bamboo reed, sandalwood and cherry blossom",Discontinued,04/10/06,,,,,,,,
,Limited Edition,A Little Lunacy,Long Night Moon,"Cereus, moonflower accord, night phlox, honeysuckle, silver thyme, white mint, and blue musk",Discontinued,10/24/07,10/27/07,,,,,,,
,Limited Edition,A Little Lunacy,Red Moon 2007,"traditional lunar oils with the warmth of amber, red musk, and heliotrope, the russet haze of dragon's blood resin, sunflower, and crushed orange peel, with a dusting of summertime herbs: chamomile, rue, elder flower and marigold",Discontinued,6/29/2007 – 7/1/2007,,6/29/2007 – 7/1/2007,,,,,,
,Limited Edition,A Little Lunacy,Crow Moon,"Vervain, black violet, white musk, and Chinese cedar, is brushed by the last cold wind of winter on their wings, and the scent of evergreen boughs touched by the season’s final flowers and the first blossoms of spring: wintersweet, green-barked dogwood, primrose, snowdrop, and lenten rose hellebore bouquet",Discontinued,01/31/07,,,,,,,,
,Limited Edition,A Little Lunacy,Cold Moon,"Traditional lunar oils combined with glittering snow flowers, soft breezes and frozen ferns",Discontinued,11/26/04,,,,,,,,
,Limited Edition,A Little Lunacy,Harvest Moon 2004,"Clematis, chrysanthemum, narcissus, sunflower, sage and lily twined with Dionysus’ sacred grapes and ivy, a bounty of apple, pumpkin, and ripe berries, and the amaranth and lingum aloes of Janus, all touched by a gentle breath of festival woodsmoke and sweet wine",Discontinued,08/29/04,,,,,,,,
,Limited Edition,A Little Lunacy,Rose Moon,"Bulgarian rose, tea rose, violet leaf, opium poppy, Bois de Jasmin, patchouli leaf, honey, blue lilac, balsam, woodruff, and lemon peel",Discontinued,4/30/07-5/5/07,,4/30/07-5/5/07,,,,,,
,Limited Edition,A Little Lunacy,Milk Moon 2007,"sweet milk, golden honey, fig fruit, pomegranate, dates, and white grape",Discontinued,03/31/07,04/15/07,3/31/07-4/15/07,,,,,,
,Limited Edition,A Little Lunacy,Blue Moon 2004,"Mugwort and bay, for psychic sensitivity…Juniper, for divination through dreams…Orchid and galbanum, for complexity, wisdom and noscere…… with a potent lunar-charged blend of poppy, calamus, orris, wood aloes, moonflower, cucumber, and pale creeping buttercup.",Discontinued,06/08/04,,,,,,,,
,Limited Edition,A Little Lunacy,Hunter Moon 2004,"A blend of traditional lunar oils touched with dry leaves, autumn bonfires, warm mulled wine, feral, animalistic notes and the chill of approaching winter.",Discontinued,09/28/04,,,,,,,,
,Limited Edition,A Little Lunacy,Blood Moon,"The feral scent of the heat of the chase, deep woods, undulating musks, brushed by forest herbs, crushed grains, and touched by blood-dimmed lunar oils",Discontinued,09/18/05,,,,,,,,
,Limited Edition,A Little Lunacy,Tanuki,"bamboo reed, plum blossom, persimmon, magnolia, black pine, sweet osmanthus, flowering cherry, mandarin orange, wisteria, and yuzu.",Discontinued,11/22/07,11/26/07,,,,,,,
,Limited Edition,A Little Lunacy,Peony Moon,"Peony, plum blossom, water reeds and soft Asian woods",Discontinued,03/14/06,,,,,,,,
,Limited Edition,A Little Lunacy,Beaver Moon 2005,cheesecake and cupcakes,Discontinued,10/16/05,,,,,,,,
,Limited Edition,A Little Lunacy,Hungry Ghost Moon,"Offerings of ginger candy, sugar cane, smoky vanilla and rice wine mingle with a ghost’s perfume of white sandalwood, ho wood, ti, white grapefruit, crystalline musk and aloe. This scent is tapered by the presence of seven herbs, woods and resins used in the purification of the spirit and the purging of earthly concerns from the soul",Discontinued,06/11/06,,,,,,,,
,Limited Edition,A Little Lunacy,Bitter Moon,"Nepal poppy, lotus root, wild rose, and blue hibiscus with blackberry, tonka, sage, lavender, peony and vetiver",Discontinued,11/04/06,,,,,,,,
,Limited Edition,A Little Lunacy,Budding Moon,"Plum blossom, peony, lotus root, Chinese musk and a hint of white ginger",Discontinued,01/14/06,,,,,,,,
,Limited Edition,A Little Lunacy,Lycaon,"blackened myrrh, crushed olive leaf, black musk, spikenard, frankincense, cypress wood, opoponax, white ginger, and patchouli.",Discontinued,12/03/06,,,,,,,,
,Limited Edition,A Little Lunacy,Bakeneko,"Warm amber musk, Satsuma tangerine, black tea leaf, cardamom, cherry blossom and cinnamon",Discontinued,01/01/07,,,,,,,,
,Limited Edition,A Little Lunacy,Strawberry Moon,"A blending of strawberries and cream with light, dry lotus and soft ylang ylang and a touch of green tea and sage",Discontinued,05/23/05,,,,,,,,
,Limited Edition,A Little Lunacy,Blue Moon 2007,"Mugwort and bay, for psychic sensitivity…Juniper, for divination through dreams…Orchid and galbanum, for complexity, wisdom and noscere…… with a potent lunar-charged blend of exquisite Asian woods, moonflower, Madagascan ylang ylang, Florentine iris, Greek cypress, davana, green tea absolute, palmarosa, cucumber, Clary sage, melilot trefoils, wood aloes, and pale creeping buttercup",Discontinued,04/30/07,05/05/07,05/30/07 – 06/03/07,,,,,,
,Limited Edition,A Little Lunacy,Tamamo-No-Mae,"soft skin musk, brushed by white tea leaf, rice flower, black locust flower, white sandalwood kodo soke, dry ginger, benzoin gum, and Amacha",Discontinued,4/30/07-5/5/07,,4/30/07-5/5/07,,,,,,
,Limited Edition,A Little Lunacy,Swan Maiden,"White gardenia, white iris, sandalwood, calla lily, French magnolia, muguet, jonquil, and orchid.",Discontinued,09/26/07-09/28/07,,09/26/07-09/28/07,,,,,,
,Limited Edition,A Little Lunacy,Aeaea,"A dark ocean breeze, electric with adrenaline, magic, and fear, clashing with the thick scent of poisoned berries and spiny aloe, against a backdrop of snowdrop, cedar, and cypress.",Discontinued,08/26/07,08/29/07,,,,,,,
,Limited Edition,A Little Lunacy,Holiday Moon,Bamboo pulp and oude with green and white tea.,Discontinued,12/15/05,,,,,,,,
,Limited Edition,A Little Lunacy,Allison Gross,"Witch-herbs, crushed golden flowers, and a man-made-dragon’s surly musk lightened by the scent of the blossoms and unearthly incense that clings to the Faerie Queen’s hair. Dragon’s blood musk, ambergris, sunflower, chrysanthemum, muguet, and rue, with gingered lily, moonflower, bluebell, peony, nightwort, and white rose.",Discontinued,06/29/07,07/01/07,,,,,,,
,Limited Edition,A Little Lunacy,Roux-Ga-Roux,"Spanish moss, swamp jessamine, bog water, cypress, hickory wood, lobelia, sweet flag, wisteria, and marsh milkweed. ",Discontinued,03/02/07,,,,,,,,
,Limited Edition,A Little Lunacy,Kindly Moon,"moonflower, lotus root, white gardenia, beeswax, peach blossom, blue musk, stargazer lily, golden osmanthus, ti, sandalwood, hyacinth, ylang ylang, and a touch of vanilla bean",Discontinued,09/05/06,,,,,,,,
,Limited Edition,A Little Lunacy,Old Moon,"evergreen, juniper, winterberry holly, bayberry, Viking black chokeberry, hemlock, and yew, ice-rimed, gilded by traditional lunar herbs and flowers.",Discontinued,12/21/07,12/26/07,,,,,,,
,Limited Edition,A Little Lunacy,Oborot,"Balkan fir sap, dark mosses, Greek Mountain tea flower, black pine, salty ocean spray, deep black earth, and a moon-touched magickal incense of sandarac, frankincense, and ravensara",Discontinued,01/31/07,,,,,,,,
,Limited Edition,A Little Lunacy,Ivanushka,"Soft, velvety fur and warm musk, brushed by forest woods and dusted by dry leaves",Discontinued,10/24/07,10/27/07,,,,,,,
,Limited Edition,A Little Lunacy,Wolf Moon 2004,"This is the dead of winter, the year’s dark hibernation, the crystalline silence of the depths of the world’s darkness. It bears echoes of the time before time, of primordial gloom. This Moon harbors memories of man’s life before fire",Discontinued,12/26/04,,,,,,,,
,Limited Edition,A Little Lunacy,Harvest Moon 2005,"Gladiola, chrysanthemum, aster, dahlia, anemone, bergamot, marigold, sage and verbena dust a blend of wine-soaked apples, plums, and red pears, mulling spices and brown sugar, the ivy leaves of Dionysus and Janus’ amaranth and lingum aloe",Discontinued,08/19/05,,,,,,,,
,Limited Edition,A Little Lunacy,The Emathides,"black amber, black orchid, black currant, olive blossom, wood violet, lavender, blue musk, rose attar, and cedar.",Discontinued,7/24/07 – 7/31/07,,7/24/07 – 7/31/07,,,,,,
,Limited Edition,A Little Lunacy,Chaste Moon,"milky blossoms and soft cream touch the last buds of winter, coupled with crystalline, bright traditional Lunar oils",Discontinued,02/24/05,,,,,,,,
,Limited Edition,A Little Lunacy,Wolf Moon 2006,"Winter air, Terebinth pine, juniper berry, dusty orris, deep amber, white sandalwood, black musk, blue cedar, and tonka",Discontinued,12/03/06,,,,,,,,
,Limited Edition,A Little Lunacy,Frost Moon,"A blend of traditional lunar oils frozen with winter mints, shivering eucalyptus, clear lotus, a gust of wind, and a midnight aquatic note",Discontinued,10/27/04,,,,,,,,
,Limited Edition,A Little Lunacy,Red Moon 2004,"traditional lunar oils with the warmth of amber and heliotrope, the russet haze of dragon's blood resin and crushed orange peel, and a swirl of summertime herbs: chamomile, rue, elder flower and marigold.",Discontinued,"(7/2/04, 7/31/04)",,,,,,,,
,Limited Edition,A Little Lunacy,Minotaur,"A deep, swarthy black musk dusted by a dark, resinous blend of sacred bisabol myrrh, atramentous benzoin, tsori, balsam, and galbanum",Discontinued,03/31/07,,,,,,,,
,Limited Edition,A Little Lunacy,Flower Moon," tulip, daffodil, violet, dewdrop, rhododendron, iris, daisy, and a mix of California wildflowers",Discontinued,04/24/05,,,,,,,,
,Limited Edition,A Little Lunacy,Harvest Moon 2006,"Chrysanthemum, pomegranate, cane sugar and dusty wheat, sorghum, green tea leaf, rice flower and rice milk, Russian sage, bamboo shoot, elderberry, black cherry, wild plum, red haw, hazelnut, red apple and shagbark hickory.",Discontinued,07/10/06,,,,,,,,
,Limited Edition,A Little Lunacy,Hunter Moon 2007,"Dry leaves, autumn bonfires, blood red wine, feral, animalistic notes and the chill of approaching winter.",Discontinued,08/26/07,08/29/07,,,,,,,
,Limited Edition,A Little Lunacy,Thunder Moon,"Ozone deepened by liquid amber, and a spray of hot nighttime rain mingled with the scent of lightning-struck wood, water-soaked summer blooms, and sun-scorched grass.",Discontinued,05/31/07,,,,,,,,
,Limited Edition,A Little Lunacy,Lotus Moon,"opium-laced golden lotus with rich amber, pine resin, and rose otto",Discontinued,05/13/06,,,,,,,,
,Limited Edition,A Little Lunacy,Black Moon,"motia attar, black orchid, mugwort, English pear, cucumber, blue lotus, jonquil, massoia, calamus and crystal musk",Discontinued,08/22/06,,,,,,,,
,Limited Edition,A Little Lunacy,Pink Moon 2007,Sugared carnation and phlox,Discontinued,03/01/07,,,,,,,,
,Limited Edition,A Little Lunacy,Pink Moon 2005,"phlox, tulip, daffodil, dogwood and muscari, dusted with pink sugar and honey, and a touch of the first strawberries of the season",Discontinued,03/25/05,,,,,,,,
,Limited Edition,A Little Lunacy,White Moon,"Lilac, calla lily, wisteria, white sandalwood, moonflower, night musk, phlox, and violet",Discontinued,10/05/06,,,,,,,,
,Limited Edition,A Little Lunacy,Fruit Moon,"A horde of wet, ripe fruits: green apple, apricot, blackberry, black cherry, black and red currants, cantaloupe, English pear, guava, lemon and lime, orange, mandarin orange, kiwi and mango, passion fruit, papaya, Georgia peach, raspberry, plum, tangerine, pomegranate and strawberry over a luminous blend of lunar oils",Discontinued,07/21/05,,,,,,,,
,Limited Edition,A Little Lunacy,Milk Moon 2005,cream and warm honey soften our traditional blend of lunar oils,Discontinued,04/24/05,,,,,,,,
,Limited Edition,A Little Lunacy,Storm Moon,"slashing rain notes, rolling thunder, and sharp, cold winds layered by a breath of softly wafting lunar incense, a hint of Luna’s blooms, and the brittle herbs of winter",Discontinued,01/25/05,,,,,,,,
,Limited Edition,A Little Lunacy,Buck Moon,"an amplification of one’s natural musk coupled with forest herbs, a hint of clear, warm evening air and a crystalline spark of lunar oil",Discontinued,06/22/05,,,,,,,,
,Limited Edition,Anniversary,White Phoenix,"White, for acting in good conscience and doing our best to give back to the community. Frangipani, magnolia, cotton flower, osmanthus, crystal musk, ambrette, white orchid, sugar cane, davana, white sandalwood, petitgrain, lavender, and lotus root.",Discontinued,11/17/07,01/15/08,,,,,,,
,Limited Edition,Anniversary,Red Phoenix,"Red musk, tonka, Chinese cassia, mandarin, patchouli, benzoin, wild plum and tobacco. ",Discontinued,11/01/05,,,,,,,,
,Limited Edition,Anniversary,Midway 2007,"Funnel cake, caramel apple, cotton candy, salt water taffy and sugar tart.",Discontinued,11/17/07,01/15/08,,,,,,,
,Limited Edition,Anniversary,Mechanical Phoenix,"A mechanical construct: illustrating strong work ethic, determination, creativity, and innovation. Copper gears, brass cogs, fused wiring, scorched iron, and motor oil.",Discontinued,11/17/07,01/15/08,,,,,,,
,Limited Edition,Anniversary,Pink Phoenix,"Vanilla bean, honeycomb, sugared pear, sweet pea and a dribble of strawberry.",Discontinued,11/01/05,,,,,,,,
,Limited Edition,Anniversary,Purple Phoenix,"myrrh, plum blossom, African violet, cognac, fig, orris, lilac, wisteria, black plum, and Burgundy wine grapes. ",Discontinued,11/04/06,12/01/06,,,,,,,
,Limited Edition,Anniversary,Green Phoenix,"Green, for growth, expansion, prosperity, and stability. Sage, white mint, grey amber, papaya pulp, crushed grass, cucumber, green musk, green tea, and lime rind.",Discontinued,11/17/07,01/15/08,,,,,,,
,Limited Edition,Anniversary,Blood Phoenix,"Blood: expressing passion, will, and a sensual aesthetic. Dragon's blood resin, helichrysum, burgundy wine grape, red musk, opoponax, red poppy, myrrh, carnation, tonka, almond, mimosa, jonquil, and neroli.",Discontinued,11/17/07,01/15/08,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Bone,"The dry, thin scent of a draconic ossuary. Dragon's blood resin with white sandalwood, dusty orris and crisp blondewood.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Eye,"A piercing, radiant perfume: dragon's blood resin, lily of the valley, lilac and galbanum.",Discontinued,,,,,,,,,
,General Catalogue,Ars Draconis,Tanin'iver,"Lilith’s monstrous dragon steed: dragon’s blood resin, patchouli, pomegranate, myrrh, mimosa, cassia, blood musk and smoke.",Discontinued,,07/01/09,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Musk,"Dominant, passionate, devastating. Dragon’s blood and five deep musks.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Ladon,"The hundred-headed dragon that guards the garden of the Hesperides: dragon’s blood resin, golden apple, apple blossom, white musk and hyacinth.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Blood,"Powerful, commanding, blazing with strength.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Heart,"A scent pulsing with vitality, warmth and insurmountable strength: dragon's blood resin, red and black musks, a throb of fig and a sliver of black currant.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Hide,"Flame-kissed, warm, smooth, and highly protective. Dragon’s blood, leather and a hint of smoke.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Milk,A truly fae nectar! Dragon's blood resin and honeyed vanilla., ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Reverie,"Opium-laced dreams of flame, plunder, power and fury: dragon’s blood resin, poppy, amber and ylang ylang.",Discontinued,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Claw,"Smooth, polished and lethally sharp: dragon’s blood resin and three sandalwoods.", ,,,,,,,,,
,General Catalogue,Ars Draconis,Dragon's Tears,Bittersweet yet powerful: salty aquatic notes and bursting with dragon's blood., ,,,,,,,,,
,General Catalogue,Ars Moriendi,Les Fleurs du Mal,"Features a rose base, softened with lilac and wisteria", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Twilight,"Lavender and jasmine, with a touch of glowing honeysuckle", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Ghost,"white iris, osmanthus, Calla lily, tomb-crawling ivy and a coffin spray of gladiolus, lisianthus and delphinium", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Tears," The distillate of grief and loss. A clean, cathartic fragrance. ",Discontinued,Disc 10/27/04,,Disc 10/27/04,,,,,,
,General Catalogue,Ars Moriendi,Danse Macabre,"Black cypress with oakmoss, frankincense, oude, and a sliver of toasted hazelnut.", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Eternal,"Stephanotis, cyclamen, heliotrope, white rose and gardenia", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Shroud,"Dry white sandalwood wrapped in thin woods, soft grasses and the lightest white flowers layered over cajeput and the warm, deep scent of embalming herbs",Discontinued,,01/24/08,,,,,,,
,General Catalogue,Ars Moriendi,Haunted,Soft golden amber darkened with a touch of murky black musk, ,,,,,,,,,
,General Catalogue,Ars Moriendi,Wings of Azrael,"Warm myrrh swirled with a bittersweet blend of violet, Lily of the Valley, juniper, cypess and cajeput", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Dance of Death,"Dry, bone-white orris, black musk, serpentine patchouli and our murkiest myrrh", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Zombi,"Dried roses, rose leaf, Spanish moss, oakmoss and deep brown earth", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Epitaph,"Roses and funeral lilies perceived, faintly, through an indistinct, ghostly mist.",Discontinued,08/26/07,,08/26/07,,,,,,
,General Catalogue,Ars Moriendi,Jazz Funeral,"Bittersweet bay rum, bourbon, and a host of funeral flowers with a touch of graveyard dirt, magnolia and Spanish Moss", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Embalming Fluid,"A light, pure scent: white musk, green tea, aloe and lemon", ,,,,,,,,,
,General Catalogue,Ars Moriendi,Midnight,"Evening primrose, ruellia, flowering nicotiana, wild petunia, panani-o-kai, night phlox, night gladiolus, moonflower and the elusive scent of Nottingham Catchfly",Discontinued,,11/12/10,,,,,,,
,General Catalogue,Ars Moriendi,Nocturne,Deepest violet touched with lilac and tuberose, ,,,,,,,,,
,General Catalogue,Ars Moriendi,Darkness,Blackest opium and narcissus deepened by myrrh, ,,,,,,,,,
,General Catalogue,Ars Moriendi,Sheol,"Vibrant gladiola, graceful stargazer lily, triumphant iris and bright heliotrope flare, and is finally made somber by heavy copal, a drop of labdanum, and tonka", ,,,,,,,,,
,General Catalogue,Ars Moriendi,The Phantom Wooer,"stargazer lily, bone dust, tomb mosses, buttonweed, moonflower, and honey myrtle.",,08/26/07,,08/26/07,,,,,,
,General Catalogue,Ars Moriendi,Silentium Amoris,Rose touched with ylang ylang,Discontinued,Disc 10/27/04; resur 11/4/06 – 12/1/06,,Disc 10/27/04; resur 11/4/06 – 12/1/06,,,,,,
,General Catalogue,Ars Moriendi,House of Night,"A sorrowful graveyard bouquet of somber blooms, funereal boughs, dismal green and laden with grief.",Discontinued,,,,,,,,,
,General Catalogue,Ars Moriendi,Sepulcher,Calla lilies wrapped in rose and gladiola with the barest touch of sweetgrass and juniper.,Discontinued,Disc 10/27/04; resu 11/15/05 – 12/1/05,,Disc 10/27/04; resu 11/15/05 – 12/1/05,,,,,,
,General Catalogue,Ars Moriendi,Despair,"Roman chamomile, rosewood, cypress, Rose Otto, lavender, sandalwood and ylang ylang.",Discontinued,,10/27/04,11/15/05 – 12/01/05,,,,,,
,General Catalogue,Ars Moriendi,Thanatopsis,"A deep, solomn earthen scent containing pine, juniper and musk.", ,,,,,,,,,
,General Catalogue,Ars Moriendi,The Reaper and the Flowers,"longiflorum lilies, white rose, chrysanthemum, and carnation", ,,,,,,,,,
,General Catalogue,Ars Moriendi,The Ghost,"white iris, osmanthus, Calla lily, tomb-crawling ivy and a coffin spray of gladiolus, lisianthus and delphinium.",,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Vipralabda,"benzoin, Greek sage, hay, melaleuca ericifolia, oakmoss, and blue chamomile.",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Abhisarika,"Damascus rose, African orchid, cream accord, and Kashmir musk.",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Khandita,"fiery saffron, neroli, severe black musk, rose otto, and a harsh splinter of rosemary.",Discontinued,,,,,,,,,
,Limited Edition,Lupercalia,Khajuraho 2006,"honey, date palm, tuberose, davana blossom, amber, white sandalwood, vanilla bean, Damask rose, and champaca flower.",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Virahotkantita,"blue lilac, snowdrop, bergamot, night-blooming cereus, frankincense, Himalayan cedar, and stargazer lily.",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Kalahantarika,"hyssop, lavender, balsam of Peru, jonquil, and elemi.",Discontinued,Lupercalia 2007,,Lupercalia 2007,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Kanishta,"black opium, Haitian patchouli, jasmine sambac, French magnolia and kush. ",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Vasakasajja,"skin musk, wild orchid, champaca flower, amaranth, tonka bean, and French vanilla.",Discontinued,,,,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Svadhinaopatika,"golden amber, oude, red sandalwood, massoia bark, honey, and currant.",Discontinued,Lupercalia 2007,,Lupercalia 2007,,,,,,
,Limited Edition,Ashtanyika: Faces of the Heroine,Proshitapathika,"blue iris, fennel, dark musk, verbena, and a drop of star anise.",Discontinued,,,,,,,,,
,Limited Edition,Astrological,Aries 2007,"Cardinal fire: the essence of identity. Black pepper, honeysuckle, opoponax, dragon’s blood, and wild ginger.",Discontinued,03/02/07,03/07/07,,,,,,,
,Limited Edition,Astrological,Scorpio 2007,"Fixed Water: the essence of passion. Dark musk, wormwood, basil, dragon's blood resin, galangal, and opoponax.",Discontinued,09/26/07-09/28/07,,09/26/07-09/28/07,,,,,,
,Limited Edition,Astrological,Virgo 2007,"Mutable earth: the essence of analysis. Fennel, valerian, maidenhair fern, carrot seed, honeysuckle, and myrtle.",Discontinued,7/24/07 – 7/31/07,,7/24/07 – 7/31/07,,,,,,
,Limited Edition,Astrological,Libra 2007,"Cardinal air: the essence of balance. Rose, black cherry, carnation, fig, honey, plum, and black currant.",Discontinued,8/26/07 – 8/29/07,,8/26/07 – 8/29/07,,,,,,
,Limited Edition,Astrological,Cancer 2007,"Cardinal Water: the essence of feeling. Wild lettuce, wild pear, chamomile, germanica orris, sweet pea, and mallow",Discontinued,05/31/07,06/02/07,,,,,,,
,Limited Edition,Astrological,Aquarius 2007,"Fixed air: the essence of idealism. Wisteria, myrrh, anise, galbanum, bryony, and pomegranate.",Discontinued,12/21/07,12/26/07,,,,,,,
,Limited Edition,Astrological,Leo 2007,"Fixed Fire: the essence of pride.
Egyptian amber, walnut bark, chamomile, frankincense, and saffron.",Discontinued,,,,,,,,,
,Limited Edition,Astrological,Gemini 07,"Mutable Air: the essence of thought. Lavender, benzoin, orchid, and frankincense.",Discontinued,4/30/07-5/5/07,,4/30/07-5/5/07,,,,,,
,Limited Edition,Astrological,Sagittarius 2007,"Mutable Fire: the essence of striving. Sage, clove, dandelion, balm of gilead, fig, and chamomile.",Discontinued,10/24/07,10/27/07,,,,,,,
,Limited Edition,Astrological,Taurus 2007,"Fixed Earth: the essence of possession. Rose, daisy, apple blossom, violet, poppy, columbine, thyme, and mint. ",Discontinued,3/31/07-4/15/07,,3/31/07-4/15/07,,,,,,
,Limited Edition,Astrological,Capricorn 2007,"Cardinal earth: the essence of control. Solomon’s Seal, pine, amaranth, ambrette, cypress, wild tobacco, and hemp.",Discontinued,11/22/07,11/26/07,,,,,,,
,General Catalogue,Bewitching Brews,Coiled Serpent,"A potent yogic oil that stimulates the kundalini, provokes spiritual awakening, and releases the energy seated in your root chakra", ,,,,,,,,,
,General Catalogue,Bewitching Brews,Morgause,"A bouquet of five night-blooming flowers deepened by dusky violet, purple fruits and the barest breath of medieval incenses", ,,,,,,,,,
,General Catalogue,Bewitching Brews,Voodoo,"myrrh, patchouli, vetiver, lime, vanilla, pine, almond and clove", ,,,,,,,,,
,General Catalogue,Bewitching Brews,Chimera,"The fiery, volatile scent of cinnamon, thickened by myrrh, honeysuckle, and copal", ,,,,,,,,,
,General Catalogue,Bewitching Brews,Shadow,"lemon verbena, white sandalwood and cedar, dimmed by droplets of the darkest patchouli.",Discontinued,Disc 6/9/06,,Disc 6/9/06,,,,,,
